Minute,,Assist
34,Left-footed shot,Ivan Rakitic
34,Left-footed shot,Ivan Rakitic
34,Left-footed shot,Ivan Rakitic
35,Left-footed shot,Ivan Rakitic
35,Left-footed shot,Ivan Rakitic
35,Left-footed shot,Ivan Rakitic
36,Left-footed shot,Ivan Rakitic
36,Left-footed shot,Ivan Rakitic
36,Left-footed shot,Ivan Rakitic
36,Left-footed shot,Ivan Rakitic
36,Left-footed shot,Ivan Rakitic
36,Left-footed shot,Ivan Rakitic
36,Left-footed shot,Javier Mascherano
36,Left-footed shot,Javier Mascherano
37,Left-footed shot,Jordi Alba
37,Left-footed shot,Jordi Alba
37,Left-footed shot,Jordi Alba
37,Left-footed shot,Jordi Alba
37,Left-footed shot,Jordi Alba
37,Left-footed shot,Jordi Alba
38,Left-footed shot,Jordi Alba
38,Left-footed shot,Jordi Alba
38,Left-footed shot,Jordi Alba
38,Left-footed shot,Jordi Alba
38,Left-footed shot,Jordi Alba
38,Left-footed shot,Jordi Alba
38,Left-footed shot,Jordi Alba
38,Left-footed shot,Jordi Alba
39,Left-footed shot,Jordi Alba
39,Left-footed shot,Jordi Alba
39,Left-footed shot,Jordi Alba
39,Left-footed shot,Jordi Alba
39,Left-footed shot,Jordi Alba
39,Left-footed shot,Jordi Alba
39,Left-footed shot,Lucas Digne
39,Left-footed shot,Ludovic Giuly
40,Left-footed shot,Luis Suarez
40,Left-footed shot,Luis Suarez
40,Left-footed shot,Luis Suarez
40,Left-footed shot,Luis Suarez
40,Left-footed shot,Luis Suarez
41,Left-footed shot,Luis Suarez
41,Left-footed shot,Luis Suarez
41,Left-footed shot,Luis Suarez
41,Left-footed shot,Luis Suarez
41,Left-footed shot,Luis Suarez
41,Left-footed shot,Luis Suarez
41,Left-footed shot,Luis Suarez
42,Left-footed shot,Luis Suarez
42,Left-footed shot,Luis Suarez
42,Left-footed shot,Luis Suarez
42,Left-footed shot,Luis Suarez
42,Left-footed shot,Luis Suarez
42,Left-footed shot,Luis Suarez
42,Left-footed shot,Luis Suarez
42,Left-footed shot,Luis Suarez
42,Left-footed shot,Luis Suarez
42,Left-footed shot,Luis Suarez
43,Left-footed shot,Luis Suarez
43,Left-footed shot,Luis Suarez
43,Left-footed shot,Luis Suarez
43,Left-footed shot,Luis Suarez
43,Left-footed shot,Luis Suarez
43,Left-footed shot,Luis Suarez
43,Left-footed shot,Luis Suarez
43,Left-footed shot,Luis Suarez
43,Left-footed shot,Luis Suarez
43,Left-footed shot,Luis Suarez
44,Left-footed shot,Luis Suarez
44,Left-footed shot,Luis Suarez
44,Left-footed shot,Luis Suarez
44,Left-footed shot,Luis Suarez
44,Left-footed shot,Luis Suarez
44,Left-footed shot,Luis Suarez
45,Left-footed shot,Luis Suarez
45,Left-footed shot,Luis Suarez
45,Left-footed shot,Luis Suarez
45,Left-footed shot,Luis Suarez
45,Left-footed shot,Luis Suarez
45,Left-footed shot,Luis Suarez
45,Left-footed shot,Luis Suarez
45,Left-footed shot,Luis Suarez
45,Left-footed shot,Luis Suarez
45,Left-footed shot,Malcom
45,Left-footed shot,Marc Bartra
45,Left-footed shot,Marc Bartra
46,Left-footed shot,Marc Bartra
46,Left-footed shot,Marc Bartra
46,Left-footed shot,Marc Bartra
46,Left-footed shot,Mark van Bommel
47,Left-footed shot,Martín Montoya
47,Left-footed shot,Martín Montoya
47,Left-footed shot,Martín Montoya
47,Left-footed shot,Martín Montoya
47,Left-footed shot,Maxwell
48,Left-footed shot,Munir El Haddadi
48,Left-footed shot,Nelson Semedo
49,Left-footed shot,Neymar
49,Left-footed shot,Neymar
49,Left-footed shot,Neymar
49,Left-footed shot,Neymar
49,Left-footed shot,Neymar
50,Left-footed shot,Neymar
50,Left-footed shot,Neymar
50,Left-footed shot,Neymar
50,Left-footed shot,Neymar
50,Left-footed shot,Neymar
50,Left-footed shot,Neymar
50,Left-footed shot,Neymar
51,Left-footed shot,Neymar
51,Left-footed shot,Neymar
51,Left-footed shot,Neymar
51,Left-footed shot,Neymar
51,Left-footed shot,Neymar
51,Left-footed shot,Neymar
51,Left-footed shot,Neymar
51,Left-footed shot,Neymar
51,Left-footed shot,Neymar
51,Left-footed shot,Neymar
52,Left-footed shot,Neymar
52,Left-footed shot,Neymar
52,Left-footed shot,Neymar
52,Left-footed shot,Ousmane Dembele
53,Left-footed shot,Ousmane Dembele
53,Left-footed shot,Ousmane Dembele
53,Left-footed shot,Ousmane Dembele
53,Left-footed shot,Paco Alcacer
54,Left-footed shot,Paulinho
54,Left-footed shot,Paulinho
54,Left-footed shot,Pedro
54,Left-footed shot,Pedro
54,Left-footed shot,Pedro
55,Left-footed shot,Pedro
55,Left-footed shot,Pedro
55,Left-footed shot,Pedro
55,Left-footed shot,Pedro
55,Left-footed shot,Pedro
55,Left-footed shot,Pedro
55,Left-footed shot,Pedro
55,Left-footed shot,Pedro
55,Left-footed shot,Pedro
55,Left-footed shot,Pedro
55,Left-footed shot,Pedro
55,Left-footed shot,Pedro
55,Left-footed shot,Pedro
56,Left-footed shot,Pedro
56,Left-footed shot,Pedro
56,Left-footed shot,Pedro
56,Left-footed shot,Pedro
56,Left-footed shot,Pedro
56,Left-footed shot,Pedro
56,Left-footed shot,Pedro
57,Left-footed shot,Pedro
57,Left-footed shot,Pedro
57,Left-footed shot,Pedro
57,Left-footed shot,Pedro
58,Left-footed shot,Pedro
58,Left-footed shot,Pedro
58,Left-footed shot,Philippe Coutinho
58,Left-footed shot,Philippe Coutinho
58,Left-footed shot,Philippe Coutinho
58,Left-footed shot,Rafinha
58,Left-footed shot,Rafinha
58,Left-footed shot,Ronaldinho
58,Left-footed shot,Ronaldinho
58,Left-footed shot,Ronaldinho
59,Left-footed shot,Ronaldinho
59,Left-footed shot,Ronaldinho
59,Left-footed shot,Ronaldinho
59,Left-footed shot,Ronaldinho
59,Left-footed shot,Samuel Eto'o
59,Left-footed shot,Samuel Eto'o
59,Left-footed shot,Samuel Eto'o
59,Left-footed shot,Samuel Eto'o
59,Left-footed shot,Samuel Eto'o
60,Left-footed shot,Samuel Eto'o
60,Left-footed shot,Samuel Eto'o
60,Left-footed shot,Sergi Roberto
60,Left-footed shot,Sergio Busquets
60,Left-footed shot,Sergio Busquets
60,Left-footed shot,Sergio Busquets
60,Left-footed shot,Sergio Busquets
60,Left-footed shot,Sergio Busquets
60,Left-footed shot,Sergio Busquets
61,Left-footed shot,Sergio Busquets
61,Left-footed shot,Sergio Busquets
61,Left-footed shot,Sergio Busquets
61,Left-footed shot,Sergio Busquets
61,Left-footed shot,Sergio Busquets
61,Left-footed shot,Sergio Busquets
61,Left-footed shot,Sergio Busquets
61,Left-footed shot,Sergio Busquets
62,Left-footed shot,Seydou Keita
62,Left-footed shot,Seydou Keita
62,Left-footed shot,Seydou Keita
62,Left-footed shot,Seydou Keita
63,Left-footed shot,Sylvinho
63,Left-footed shot,Thiago
63,Left-footed shot,Thiago
63,Left-footed shot,Thiago
63,Left-footed shot,Thiago
63,Left-footed shot,Thiago
63,Left-footed shot,Thiago
63,Left-footed shot,Thierry Henry
63,Left-footed shot,Thierry Henry
63,Left-footed shot,Thierry Henry
63,Left-footed shot,Thierry Henry
64,Left-footed shot,Thierry Henry
64,Left-footed shot,Thierry Henry
64,Left-footed shot,Thierry Henry
64,Left-footed shot,Thierry Henry
64,Left-footed shot,Xavi
64,Left-footed shot,Xavi
64,Left-footed shot,Xavi
64,Left-footed shot,Xavi
64,Left-footed shot,Xavi
65,Left-footed shot,Xavi
65,Left-footed shot,Xavi
65,Left-footed shot,Xavi
65,Left-footed shot,Xavi
65,Left-footed shot,Xavi
65,Left-footed shot,Xavi
65,Left-footed shot,Xavi
66,Left-footed shot,Xavi
66,Left-footed shot,Xavi
66,Left-footed shot,Xavi
66,Left-footed shot,Xavi
67,Left-footed shot,Xavi
67,Left-footed shot,Xavi
67,Left-footed shot,Xavi
67,Left-footed shot,Xavi
67,Left-footed shot,Xavi
67,Left-footed shot,Xavi
67,Left-footed shot,Xavi
68,Left-footed shot,Xavi
68,Left-footed shot,Xavi
68,Left-footed shot,Xavi
68,Left-footed shot,Xavi
69,Left-footed shot,Xavi
