Season,Competition,Matchday,Date,Home/Away,Opponent,Result,Position,Minute,Score,Type,Assist
,LaLiga,20,1/24/2009,H,CD Numancia (17.),4:01,RW,49',1:00,Left-footed shot,Dani Alves
,,,,,,,,76',4:01,Right-footed shot,
,LaLiga,21,2/1/2009,A,Racing (9.),1:02,RW,65',1:01,Right-footed shot,Xavi
,,,,,,,,81',1:02,Right-footed shot,
,LaLiga,25,3/1/2009,A,Atlético Madrid (7.),4:03,RW,30',0:02,Left-footed shot,
,Copa del Rey,Semi-Finals,3/4/2009,A,RCD Mallorca,1:01,RW,81',1:01,Left-footed shot,Gerard Piqué
,LaLiga,26,3/7/2009,H,Athletic (10.),2:00,RW,31',2:00,Penalty,
,Champions League,last 16,3/11/2009,H,Olympique Lyon,5:02,RW,40',3:00,Left-footed shot,Samuel Eto'o
,LaLiga,28,3/22/2009,H,Málaga CF (6.),6:00,RW,26',2:00,Right-footed shot,Xavi
,Champions League,Quarter-Finals,4/8/2009,H,Bayern Munich,4:00,RW,9',1:00,Left-footed shot,Samuel Eto'o
,,,,,,,,38',3:00,Right-footed shot,Thierry Henry
,LaLiga,31,4/18/2009,A,Getafe (14.),0:01,RW,18',0:01,Left-footed shot,Xavi
,LaLiga,33,4/25/2009,A,Valencia (4.),2:02,RW,23',0:01,Left-footed shot,Andrés Iniesta
,LaLiga,34,5/2/2009,A,Real Madrid (2.),2:06,RW,35',1:03,Left-footed shot,Xavi
,,,,,,,,75',2:05,Left-footed shot,Xavi
,Copa del Rey,Final,5/13/2009,H,Athletic,4:01,RW,55',2:01,Left-footed shot,Samuel Eto'o
,Champions League,Final,5/27/2009,H,Man Utd,2:00,CF,70',2:00,Header,Xavi
Season 09/10,,,,,,,,,,,
,Supercopa,final,8/23/2009,H,Athletic,3:00,RW,50',1:00,Right-footed shot,Zlatan Ibrahimovic
,,,,,,,,68',2:00,Penalty,
,LaLiga,2,9/12/2009,A,Getafe (1.),0:02,RW,78',0:02,Header,Zlatan Ibrahimovic
,LaLiga,3,9/19/2009,H,Atlético Madrid (18.),5:02,RW,15',2:00,Left-footed shot,Xavi
,,,,,,,,90'+3,5:02,Right-footed shot,Dani Alves
,LaLiga,4,9/22/2009,A,Racing (9.),1:04,RW,23',0:02,Left-footed shot,Xavi
,,,,,,,,63',0:04,Left-footed shot,Xavi
,Champions League,Group Stage,9/29/2009,H,Dynamo Kyiv,2:00,RW,25',1:00,Left-footed shot,Andrés Iniesta
,LaLiga,8,10/25/2009,H,Real Zaragoza (13.),6:01,RW,80',5:01,Left-footed shot,Andrés Iniesta
,LaLiga,10,11/7/2009,H,RCD Mallorca (5.),4:02,RW,86',4:01,Penalty,
,Copa del Rey,5th round,11/10/2009,H,CyD Leonesa,5:00,RW,64',4:00,Left-footed shot,Pedro
,LaLiga,13,12/5/2009,A,Dep. La Coruña (5.),1:03,RW,26',0:01,Left-footed shot,Dani Alves
,,,,,,,,80',1:02,Header,Pedro
,Champions League,Group Stage,12/9/2009,A,Dynamo Kyiv,1:02,RW,86',1:02,Direct free kick,
,Club World Cup,Semi-Finals,12/16/2009,A,Atlante,1:03,RW,55',1:02,Left-footed shot,Zlatan Ibrahimovic
,Club World Cup,Final,12/19/2009,A,Estudiantes,1:2 AET,RW,110',1:02,Chest,Dani Alves
,LaLiga,17,1/10/2010,A,CD Tenerife (17.),0:05,RW,36',0:01,Left-footed shot,Bojan Krkic
,,,,,,,,45',0:03,Right-footed shot,Bojan Krkic
,,,,,,,,75',0:04,Left-footed shot,Bojan Krkic
,LaLiga,18,1/16/2010,H,Sevilla FC (5.),4:00,RW,85',3:00,Left-footed shot,Dani Alves
,,,,,,,,90'+1,4:00,Left-footed shot,Éric Abidal
,LaLiga,19,1/23/2010,A,Real Valladolid (17.),0:03,RW,54',0:03,Left-footed shot,Zlatan Ibrahimovic
,LaLiga,21,2/6/2010,H,Getafe (7.),2:01,RW,7',1:00,Left-footed shot,Yaya Touré
,LaLiga,24,2/27/2010,H,Málaga CF (12.),2:01,RW,84',2:01,Right-footed shot,Dani Alves
,LaLiga,25,3/6/2010,A,UD Almería (13.),2:02,RW,42',1:01,Direct free kick,
,,,,,,,,66',2:02,Left-footed shot,
,LaLiga,26,3/14/2010,H,Valencia (3.),3:00,CF,56',1:00,Left-footed shot,Xavi
,,,,,,,,80',2:00,Left-footed shot,Thierry Henry
,,,,,,,,82',3:00,Right-footed shot,Thierry Henry
,Champions League,last 16,3/17/2010,H,VfB Stuttgart,4:00,RW,13',1:00,Left-footed shot,Yaya Touré
,,,,,,,,56',3:00,Left-footed shot,Dani Alves
,LaLiga,27,3/21/2010,A,Real Zaragoza (17.),2:04,RW,4',0:01,Header,Pedro
,,,,,,,,65',0:02,Left-footed shot,
,,,,,,,,78',0:03,Left-footed shot,Andrés Iniesta
