Season,Competition,Matchday,Date,Home/Away,Opponent,Result,Position,Minute,Score,Type,Assist
,LaLiga,28,3/17/2013,H,Rayo Vallecano (8.),3:01,CF,40',2:00,Left-footed shot,David Villa
,,,,,,,,57',3:00,Left-footed shot,David Villa
,LaLiga,29,3/30/2013,A,Celta de Vigo (19.),2:02,CF,73',1:02,Left-footed shot,Cristian Tello
,Champions League,Quarter-Finals,4/2/2013,A,Paris SG,2:02,CF,38',0:01,Left-footed shot,Dani Alves
,LaLiga,33,4/27/2013,A,Athletic (14.),2:02,CF,67',1:01,Left-footed shot,Thiago
,LaLiga,34,5/5/2013,H,Real Betis (7.),4:02,CF,60',3:02,Direct free kick,
,,,,,,,,71',4:02,Left-footed shot,Alexis Sánchez
Season 13/14,,,,,,,,,,,
,LaLiga,1,8/18/2013,H,Levante (10.),7:00,CF,13',2:00,Left-footed shot,Pedro
,,,,,,,,42',5:00,Penalty,
,LaLiga,3,9/1/2013,A,Valencia (10.),2:03,CF,11',0:01,Left-footed shot,Cesc Fàbregas
,,,,,,,,39',0:02,Right-footed shot,Cesc Fàbregas
,,,,,,,,41',0:03,Left-footed shot,Neymar
,LaLiga,4,9/14/2013,H,Sevilla FC (15.),3:02,CF,75',2:00,Left-footed shot,Neymar
,Champions League,Group Stage,9/18/2013,H,Ajax,4:00,CF,22',1:00,Direct free kick,
,,,,,,,,55',2:00,Left-footed shot,Sergio Busquets
,,,,,,,,75',4:00,Left-footed shot,Xavi
,LaLiga,6,9/24/2013,H,Real Sociedad (7.),4:01,CF,8',2:00,Header,Neymar
,LaLiga,7,9/28/2013,A,UD Almería (17.),0:02,CF,21',0:01,Left-footed shot,Pedro
,Champions League,Group Stage,10/22/2013,A,AC Milan,1:01,CF,23',1:01,Left-footed shot,Andrés Iniesta
,Champions League,Group Stage,11/6/2013,H,AC Milan,3:01,CF,30',1:00,Penalty,
,,,,,,,,83',3:01,Left-footed shot,Cesc Fàbregas
,Copa del Rey,last 16,1/8/2014,H,Getafe,4:00,CF,90'+2,4:00,Left-footed shot,Alex Song
,,,,,,,,90',3:00,Left-footed shot,Martín Montoya
,Copa del Rey,last 16,1/16/2014,A,Getafe,0:02,CF,43',0:01,Right-footed shot,Cristian Tello
,,,,,,,,63',0:02,Left-footed shot,
,LaLiga,22,2/1/2014,H,Valencia (10.),2:03,CF,54',2:02,Penalty,
,LaLiga,23,2/9/2014,A,Sevilla FC (7.),1:04,CF,44',1:02,Left-footed shot,Pedro
,,,,,,,,56',1:03,Left-footed shot,Andrés Iniesta
,Copa del Rey,Semi-Finals,2/12/2014,A,Real Sociedad,1:01,CF,26',0:01,Solo run,
,LaLiga,24,2/15/2014,H,Rayo Vallecano (19.),6:00,CF,36',2:00,Left-footed shot,Cesc Fàbregas
,,,,,,,,68',5:00,Left-footed shot,Alexis Sánchez
,Champions League,last 16,2/18/2014,A,Man City,0:02,CF,54',0:01,Penalty,
,LaLiga,25,2/22/2014,A,Real Sociedad (6.),3:01,CF,36',1:01,Left-footed shot,Martín Montoya
,LaLiga,26,3/2/2014,H,UD Almería (16.),4:01,CF,24',2:00,Direct free kick,
,Champions League,last 16,3/12/2014,H,Man City,2:01,CF,67',1:00,Left-footed shot,
,LaLiga,28,3/16/2014,H,CA Osasuna (15.),7:00,CF,18',1:00,Left-footed shot,Alexis Sánchez
,,,,,,,,63',4:00,Left-footed shot,Andrés Iniesta
,,,,,,,,88',6:00,Right-footed shot,Dani Alves
,LaLiga,29,3/23/2014,A,Real Madrid (1.),3:04,CF,42',2:02,Left-footed shot,Neymar
,,,,,,,,65',3:03,Penalty,
,,,,,,,,84',3:04,Penalty,
,LaLiga,30,3/26/2014,H,Celta de Vigo (12.),3:00,CF,30',2:00,Right-footed shot,Andrés Iniesta
,LaLiga,31,3/29/2014,A,Espanyol (9.),0:01,CF,77',0:01,Penalty,
,LaLiga,32,4/5/2014,H,Real Betis (20.),3:01,CF,15',1:00,Penalty,
,,,,,,,,86',3:01,Penalty rebound,Antonio Amaya
,LaLiga,34,4/20/2014,H,Athletic (4.),2:01,CF,74',2:01,Direct free kick,
,LaLiga,35,4/27/2014,A,Villarreal (7.),2:03,CF,83',2:03,Right-footed shot,Cesc Fàbregas
,LaLiga,36,5/3/2014,H,Getafe (16.),2:02,CF,23',1:00,Left-footed shot,Dani Alves
Season 14/15,,,,,,,,,,,
,LaLiga,1,8/24/2014,H,Elche CF (13.),3:00,CF,42',1:00,Left-footed shot,Sergio Busquets
,,,,,,,,64',3:00,Left-footed shot,
,LaLiga,4,9/21/2014,A,Levante (20.),0:05,CF,77',0:05,Right-footed shot,
,LaLiga,6,9/27/2014,H,Granada CF (8.),6:00,CF,62',4:00,Header,Dani Alves
,,,,,,,,82',6:00,Right-footed shot,
,Champions League,Group Stage,9/30/2014,A,Paris SG,3:02,RW,12',1:01,Left-footed shot,Andrés Iniesta
,LaLiga,7,10/4/2014,A,Rayo Vallecano (9.),0:02,CF,35',0:01,Left-footed shot,Gerard Piqué
,LaLiga,8,10/18/2014,H,SD Eibar (9.),3:00,CF,74',3:00,Left-footed shot,Neymar
,Champions League,Group Stage,10/21/2014,H,Ajax,3:01,CF,24',2:00,Left-footed shot,Andrés Iniesta
,Champions League,Group Stage,11/5/2014,A,Ajax,0:02,RW,36',0:01,Header,Marc Bartra
,,,,,,,,76',0:02,Left-footed shot,Pedro
,LaLiga,12,11/22/2014,H,Sevilla FC (5.),5:01,RW,21',1:00,Direct free kick,
,,,,,,,,73',4:01,Tap-in,Neymar
,,,,,,,,78',5:01,Left-footed shot,Neymar
,Champions League,Group Stage,11/25/2014,A,APOEL Nicosia,0:04,CF,38',0:02,Right-footed shot,Rafinha
,,,,,,,,58',0:03,Right-footed shot,Dani Alves
,,,,,,,,87',0:04,Right-footed shot,Pedro
,LaLiga,14,12/7/2014,H,Espanyol (12.),5:01,RW,45'+1,1:01,Left-footed shot,Xavi
,,,,,,,,50',2:01,Right-footed shot,Luis Suárez
,,,,,,,,81',5:01,Right-footed shot,Pedro
,Champions League,Group Stage,12/10/2014,H,Paris SG,3:01,AM,19',1:01,Right-footed shot,Luis Suárez
,LaLiga,16,12/20/2014,H,Córdoba CF (18.),5:00,RW,82',4:00,Right-footed shot,
,,,,,,,,90',5:00,Right-footed shot,
,Copa del Rey,last 16,1/8/2015,H,Elche CF,5:00,RW,45',3:00,Penalty,
,LaLiga,18,1/11/2015,H,Atlético Madrid (3.),3:01,RW,87',3:01,Left-footed shot,
,LaLiga,19,1/18/2015,A,Dep. La Coruña (16.),0:04,RW,11',0:01,Header,Ivan Rakitic
,,,,,,,,33',0:02,Left-footed shot,Luis Suárez
,,,,,,,,62',0:03,Left-footed shot,Ivan Rakitic
,Copa del Rey,Quarter-Finals,1/21/2015,H,Atlético Madrid,1:00,RW,85',1:00,Penalty rebound,
,LaLiga,20,1/24/2015,A,Elche CF (16.),0:06,CF,55',0:02,Penalty,
,,,,,,,,88',0:05,Left-footed shot,Marc Bartra
,LaLiga,21,2/1/2015,H,Villarreal (6.),3:02,RW,55',3:02,Right-footed shot,Luis Suárez
,LaLiga,22,2/8/2015,A,Athletic (11.),2:05,RW,15',0:01,Direct free kick,
,Copa del Rey,Semi-Finals,2/11/2015,H,Villarreal,3:01,RW,41',1:00,Left-footed shot,Luis Suárez
,LaLiga,23,2/15/2015,H,Levante (18.),5:00,CF,38',2:00,Right-footed shot,Marc Bartra
,,,,,,,,59',3:00,Right-footed shot,Pedro
,,,,,,,,65',4:00,Penalty,
,LaLiga,25,2/28/2015,A,Granada CF (19.),1:03,RW,70',1:03,Right-footed shot,Luis Suárez
,LaLiga,26,3/8/2015,H,Rayo Vallecano (11.),6:01,RW,56',3:00,Penalty,
,,,,,,,,63',4:00,Tap-in,
,,,,,,,,68',5:00,Left-footed shot,Pedro
,LaLiga,27,3/14/2015,A,SD Eibar (14.),0:02,RW,31',0:01,Penalty,
,,,,,,,,55',0:02,Header,Ivan Rakitic
,LaLiga,30,4/8/2015,H,UD Almería (18.),4:00,RW,33',1:00,Left-footed shot,Marc Bartra
,LaLiga,31,4/11/2015,A,Sevilla FC (5.),2:02,RW,15',0:01,Left-footed shot,Neymar
,LaLiga,32,4/18/2015,H,Valencia (4.),2:00,RW,90'+4,2:00,Left-footed shot,
,LaLiga,33,4/25/2015,A,Espanyol (10.),0:02,RW,25',0:02,Left-footed shot,Luis Suárez
,LaLiga,34,4/28/2015,H,Getafe (13.),6:00,RW,9',1:00,Penalty,
,,,,,,,,47',6:00,Left-footed shot,Luis Suárez
,LaLiga,35,5/2/2015,A,Córdoba CF (20.),0:08,RW,47',0:03,Header,Dani Alves
,,,,,,,,80',0:06,Left-footed shot,Luis Suárez
,Champions League,Semi-Finals,5/6/2015,H,Bayern Munich,3:00,RW,77',1:00,Left-footed shot,Dani Alves
,,,,,,,,80',2:00,Right-footed shot,Ivan Rakitic
,LaLiga,37,5/17/2015,A,Atlético Madrid (3.),0:01,RW,65',0:01,Left-footed shot,Pedro
,LaLiga,38,5/23/2015,H,Dep. La Coruña (16.),2:02,RW,5',1:00,Header,Rafinha
,,,,,,,,59',2:00,Right-footed shot,Neymar
,Copa del Rey,Final,5/30/2015,A,Athletic,1:03,RW,20',0:01,Solo run,
,,,,,,,,74',0:03,Left-footed shot,Dani Alves
Season 15/16,,,,,,,,,,,
,UEFA Super Cup,Final,8/11/2015,H,Sevilla FC,5:4 AET,RW,7',1:01,Direct free kick,
,,,,,,,,16',2:01,Direct free kick,
,Supercopa,final,8/17/2015,H,Athletic,1:01,RW,43',1:00,Left-footed shot,Luis Suárez
,LaLiga,3,9/12/2015,A,Atlético Madrid (3.),1:02,RW,77',1:02,Left-footed shot,Luis Suárez
,LaLiga,4,9/20/2015,H,Levante (14.),4:01,AM,61',3:00,Penalty,
,,,,,,,,90',4:01,Left-footed shot,Marc Bartra
,Champions League,Group Stage,11/24/2015,H,AS Roma,6:01,RW,18',2:00,Left-footed shot,Luis Suárez
,,,,,,,,60',5:00,Tap-in,
,LaLiga,13,11/28/2015,H,Real Sociedad (14.),4:00,RW,90'+1,4:00,Left-footed shot,Neymar
,Champions League,Group Stage,12/9/2015,A,Bay. Leverkusen,1:01,CF,20',0:01,Right-footed shot,Ivan Rakitic
,LaLiga,15,12/12/2015,H,Dep. La Coruña (6.),2:02,RW,39',1:00,Direct free kick,
,Club World Cup,Final,12/20/2015,A,River Plate,0:03,RW,36',0:01,Left-footed shot,Neymar
,LaLiga,17,12/30/2015,H,Real Betis (11.),4:00,RW,33',2:00,Right-footed shot,Neymar
,Copa del Rey,last 16,1/6/2016,H,Espanyol,4:01,RW,13',1:01,Left-footed shot,Andrés Iniesta
,,,,,,,,44',2:01,Direct free kick,
,LaLiga,19,1/9/2016,H,Granada CF (17.),4:00,RW,8',1:00,Left-footed shot,Arda Turan
,,,,,,,,14',2:00,Left-footed shot,Luis Suárez
,,,,,,,,58',3:00,Tap-in,
,LaLiga,20,1/17/2016,H,Athletic (8.),6:00,RW,7',1:00,Penalty,
,LaLiga,21,1/23/2016,A,Málaga CF (12.),1:02,RW,51',1:02,Left-footed shot,Adriano
,LaLiga,22,1/30/2016,H,Atlético Madrid (2.),2:01,RW,30',1:01,Left-footed shot,Jordi Alba
,Copa del Rey,Semi-Finals,2/3/2016,H,Valencia,7:00,RW,29',3:00,Left-footed shot,Neymar
,,,,,,,,59',4:00,Left-footed shot,Luis Suárez
,,,,,,,,74',5:00,Left-footed shot,
,LaLiga,24,2/14/2016,H,Celta de Vigo (7.),6:01,RW,28',1:00,Direct free kick,
,LaLiga,16,2/17/2016,A,Sporting Gijón (15.),1:03,RW,25',0:01,Left-footed shot,Luis Suárez
,,,,,,,,31',1:02,Left-footed shot,Luis Suárez
,Champions League,last 16,2/23/2016,A,Arsenal,0:02,RW,71',0:01,Left-footed shot,Neymar
,,,,,,,,83',0:02,Penalty,
,LaLiga,26,2/28/2016,H,Sevilla FC (5.),2:01,RW,31',1:01,Direct free kick,
,LaLiga,27,3/3/2016,A,Rayo Vallecano (16.),1:05,RW,23',0:02,Left-footed shot,Neymar
,,,,,,,,53',0:03,Left-footed shot,
,,,,,,,,72',1:04,Left-footed shot,Sergio Busquets
,LaLiga,28,3/6/2016,A,SD Eibar (8.),0:04,RW,42',0:02,Left-footed shot,Munir El Haddadi
,,,,,,,,76',0:03,Penalty,
,LaLiga,29,3/12/2016,H,Getafe (16.),6:00,CF,41',4:00,Left-footed shot,Arda Turan
,Champions League,last 16,3/16/2016,H,Arsenal,3:01,RW,86',3:01,Left-footed shot,Neymar
,LaLiga,33,4/17/2016,H,Valencia (12.),1:02,RW,63',1:02,Left-footed shot,Jordi Alba
,LaLiga,34,4/20/2016,A,Dep. La Coruña (13.),0:08,RW,73',0:06,Left-footed shot,Luis Suárez
,LaLiga,35,4/23/2016,H,Sporting Gijón (18.),6:00,RW,13',1:00,Header,
,LaLiga,37,5/8/2016,H,Espanyol (14.),5:00,RW,8',1:00,Direct free kick,
Season 16/17,,,,,,,,,,,
,Supercopa,final,8/17/2016,H,Sevilla FC,3:00,RW,55',3:00,Header,Lucas Digne
,LaLiga,1,8/20/2016,H,Real Betis (15.),6:02,RW,37',2:01,Left-footed shot,Sergi Roberto
,,,,,,,,58',5:01,Left-footed shot,Arda Turan
,Champions League,Group Stage,9/13/2016,H,Celtic,7:00,RW,3',1:00,Left-footed shot,Neymar
,,,,,,,,27',2:00,Left-footed shot,Neymar
,,,,,,,,60',5:00,Left-footed shot,Luis Suárez
,LaLiga,4,9/17/2016,A,CD Leganés (11.),1:05,RW,15',0:01,Left-footed shot,Luis Suárez
,,,,,,,,55',0:04,Penalty,
,LaLiga,8,10/15/2016,H,Dep. La Coruña (13.),4:00,RW,58',4:00,Left-footed shot,Neymar
,Champions League,Group Stage,10/19/2016,H,Man City,4:00,RW,17',1:00,Left-footed shot,Andrés Iniesta
,,,,,,,,61',2:00,Left-footed shot,Andrés Iniesta
,,,,,,,,69',3:00,Left-footed shot,Luis Suárez
,LaLiga,9,10/22/2016,A,Valencia (14.),2:03,RW,22',0:01,Left-footed shot,Ivan Rakitic
,,,,,,,,90'+4,2:03,Penalty,
,Champions League,Group Stage,11/1/2016,A,Man City,3:01,RW,21',0:01,Left-footed shot,Neymar
,LaLiga,11,11/6/2016,A,Sevilla FC (4.),1:02,RW,43',1:01,Left-footed shot,Neymar
,Champions League,Group Stage,11/23/2016,A,Celtic,0:02,RW,24',0:01,Left-footed shot,Neymar
,,,,,,,,55',0:02,Penalty,
,LaLiga,13,11/27/2016,A,Real Sociedad (5.),1:01,RW,59',1:01,Left-footed shot,Neymar
,Champions League,Group Stage,12/6/2016,H,Bor. M'gladbach,4:00,RW,16',1:00,Left-footed shot,Arda Turan
,LaLiga,15,12/10/2016,A,CA Osasuna (20.),0:03,RW,72',0:02,Left-footed shot,Jordi Alba
,,,,,,,,90'+2,0:03,Left-footed shot,Sergio Busquets
,LaLiga,16,12/18/2016,H,Espanyol (9.),4:01,RW,90',4:01,Left-footed shot,Luis Suárez
,Copa del Rey,last 16,1/5/2017,A,Athletic,2:01,RW,52',2:01,Direct free kick,
,LaLiga,17,1/8/2017,A,Villarreal (4.),1:01,RW,90',1:01,Direct free kick,
,Copa del Rey,last 16,1/11/2017,H,Athletic,3:01,RW,78',3:01,Direct free kick,
,LaLiga,18,1/14/2017,H,UD Las Palmas (8.),5:00,RW,52',2:00,Right-footed shot,
,LaLiga,19,1/22/2017,A,SD Eibar (9.),0:04,RW,50',0:02,Left-footed shot,Luis Suárez
,Copa del Rey,Quarter-Finals,1/26/2017,H,Real Sociedad,5:02,RW,55',2:00,Penalty,
,Copa del Rey,Semi-Finals,2/1/2017,A,Atlético Madrid,1:02,RW,33',0:02,Left-footed shot,Ivan Rakitic
,LaLiga,21,2/4/2017,H,Athletic (7.),3:00,RW,40',2:00,Direct free kick,
,LaLiga,22,2/11/2017,A,Alavés (12.),0:06,RW,59',0:03,Left-footed shot,Neymar
,LaLiga,23,2/19/2017,H,CD Leganés (17.),2:01,RW,4',1:00,Right-footed shot,Luis Suárez
,,,,,,,,90',2:01,Penalty,
,LaLiga,24,2/26/2017,A,Atlético Madrid (4.),1:02,RW,86',1:02,Left-footed shot,
,LaLiga,25,3/1/2017,H,Sporting Gijón (18.),6:01,RW,9',1:00,Header,Javier Mascherano
,LaLiga,26,3/4/2017,H,Celta de Vigo (10.),5:00,AM,24',1:00,Left-footed shot,Sergio Busquets
,,,,,,,,64',5:00,Left-footed shot,
,Champions League,last 16,3/8/2017,H,Paris SG,6:01,AM,50',3:00,Penalty,
,LaLiga,28,3/19/2017,H,Valencia (13.),4:02,AM,45',2:01,Penalty,
,,,,,,,,53',3:02,Right-footed shot,Javier Mascherano
,LaLiga,30,4/5/2017,H,Sevilla FC (4.),3:00,RW,28',2:00,Right-footed shot,Luis Suárez
,,,,,,,,33',3:00,Left-footed shot,
,LaLiga,32,4/15/2017,H,Real Sociedad (6.),3:02,RW,17',1:00,Left-footed shot,Luis Suárez
,,,,,,,,37',2:00,Tap-in,
,LaLiga,33,4/23/2017,A,Real Madrid (1.),2:03,RW,33',1:01,Left-footed shot,Ivan Rakitic
,,,,,,,,90'+2,2:03,Left-footed shot,Jordi Alba
,LaLiga,34,4/26/2017,H,CA Osasuna (20.),7:01,AM,12',1:00,Left-footed shot,
,,,,,,,,61',4:01,Left-footed shot,Ivan Rakitic
,LaLiga,36,5/6/2017,H,Villarreal (5.),4:01,RW,45',2:01,Left-footed shot,Sergio Busquets
,,,,,,,,82',4:01,Penalty,
,LaLiga,38,5/21/2017,H,SD Eibar (8.),4:02,RW,75',3:02,Penalty,
,,,,,,,,90'+2,4:02,Right-footed shot,
,Copa del Rey,Final,5/27/2017,H,Alavés,3:01,RW,30',1:00,Left-footed shot,Neymar
Season 17/18,,,,,,,,,,,
,Supercopa,final,8/13/2017,H,Real Madrid,1:03,RW,77',1:01,Penalty,
,LaLiga,2,8/26/2017,A,Alavés (18.),0:02,CF,55',0:01,Left-footed shot,Jordi Alba
,,,,,,,,66',0:02,Left-footed shot,Paco Alcácer
,LaLiga,3,9/9/2017,H,Espanyol (13.),5:00,CF,26',1:00,Left-footed shot,Ivan Rakitic
,,,,,,,,35',2:00,Right-footed shot,Jordi Alba
,,,,,,,,67',3:00,Left-footed shot,Jordi Alba
,Champions League,Group Stage,9/12/2017,H,Juventus,3:00,CF,45',1:00,Left-footed shot,Luis Suárez
,,,,,,,,69',3:00,Left-footed shot,Andrés Iniesta
,LaLiga,5,9/19/2017,H,SD Eibar (13.),6:01,CF,21',1:00,Penalty,
,,,,,,,,59',4:01,Left-footed shot,Sergio Busquets
,,,,,,,,62',5:01,Left-footed shot,Paulinho
,,,,,,,,87',6:01,Left-footed shot,Aleix Vidal
,LaLiga,7,10/1/2017,H,UD Las Palmas (15.),3:00,SS,70',2:00,Left-footed shot,Denis Suárez
,,,,,,,,77',3:00,Left-footed shot,Luis Suárez
,Champions League,Group Stage,10/18/2017,H,Olympiacos,3:01,CF,61',2:00,Direct free kick,
,LaLiga,10,10/28/2017,A,Athletic (11.),0:02,SS,37',0:01,Left-footed shot,Jordi Alba
,LaLiga,14,12/2/2017,H,Celta de Vigo (9.),2:02,SS,22',1:01,Left-footed shot,Paulinho
,LaLiga,15,12/10/2017,A,Villarreal (6.),0:02,RW,83',0:02,Left-footed shot,Sergio Busquets
,LaLiga,17,12/23/2017,A,Real Madrid (3.),0:03,SS,64',0:02,Penalty,
,LaLiga,18,1/7/2018,H,Levante (16.),3:00,SS,12',1:00,Left-footed shot,Jordi Alba
,Copa del Rey,last 16,1/11/2018,H,Celta de Vigo,5:00,SS,13',1:00,Left-footed shot,Jordi Alba
,,,,,,,,15',2:00,Left-footed shot,Jordi Alba
,LaLiga,19,1/14/2018,A,Real Sociedad (12.),2:04,SS,85',2:04,Direct free kick,
,LaLiga,20,1/21/2018,A,Real Betis (7.),0:05,SS,64',0:02,Left-footed shot,Sergio Busquets
,,,,,,,,80',0:04,Left-footed shot,Luis Suárez
,Copa del Rey,Quarter-Finals,1/25/2018,H,Espanyol,2:00,SS,25',2:00,Deflected shot on goal,
,LaLiga,21,1/28/2018,H,Alavés (16.),2:01,SS,84',2:01,Direct free kick,
,Champions League,last 16,2/20/2018,A,Chelsea,1:01,SS,75',1:01,Left-footed shot,Andrés Iniesta
,LaLiga,25,2/24/2018,H,Girona (8.),6:01,SS,30',2:01,Left-footed shot,Luis Suárez
,,,,,,,,36',3:01,Direct free kick,
,LaLiga,26,3/1/2018,A,UD Las Palmas (18.),1:01,SS,21',0:01,Direct free kick,
,LaLiga,27,3/4/2018,H,Atlético Madrid (2.),1:00,SS,26',1:00,Direct free kick,
,Champions League,last 16,3/14/2018,H,Chelsea,3:00,SS,3',1:00,Right-footed shot,Luis Suárez
,,,,,,,,63',3:00,Left-footed shot,Luis Suárez
,LaLiga,29,3/18/2018,H,Athletic (12.),2:00,SS,30',2:00,Left-footed shot,Ousmane Dembélé
,LaLiga,30,3/31/2018,A,Sevilla FC (6.),2:02,RW,89',2:02,Left-footed shot,Philippe Coutinho
,LaLiga,31,4/7/2018,H,CD Leganés (14.),3:01,SS,27',1:00,Direct free kick,
,,,,,,,,32',2:00,Left-footed shot,Philippe Coutinho
,,,,,,,,87',3:01,Left-footed shot,Ousmane Dembélé
,Copa del Rey,Final,4/21/2018,A,Sevilla FC,0:05,SS,31',0:02,Left-footed shot,Jordi Alba
,LaLiga,35,4/29/2018,A,Dep. La Coruña (18.),2:04,SS,38',0:02,Left-footed shot,Luis Suárez
,,,,,,,,82',2:03,Right-footed shot,Luis Suárez
,,,,,,,,85',2:04,Left-footed shot,Luis Suárez
,LaLiga,36,5/6/2018,H,Real Madrid (3.),2:02,SS,52',2:01,Left-footed shot,Luis Suárez
,LaLiga,34,5/9/2018,H,Villarreal (6.),5:01,CF,45',3:00,Left-footed shot,Andrés Iniesta
Season 18/19,,,,,,,,,,,
,LaLiga,1,8/18/2018,H,Alavés (11.),3:00,RW,64',1:00,Direct free kick,
,,,,,,,,90'+2,3:00,Left-footed shot,Luis Suárez
,LaLiga,3,9/2/2018,H,SD Huesca (6.),8:02,RW,16',1:01,Right-footed shot,Ivan Rakitic
,,,,,,,,61',6:02,Left-footed shot,Philippe Coutinho
,Champions League,Group Stage,9/18/2018,H,PSV Eindhoven,4:00,RW,31',1:00,Direct free kick,
,,,,,,,,77',3:00,Left-footed shot,Ivan Rakitic
,,,,,,,,87',4:00,Right-footed shot,Luis Suárez
,LaLiga,5,9/23/2018,H,Girona (6.),2:02,RW,19',1:00,Left-footed shot,Arturo Vidal
,Champions League,Group Stage,10/3/2018,A,Spurs,2:04,RW,56',1:03,Left-footed shot,Jordi Alba
,,,,,,,,90',2:04,Left-footed shot,Jordi Alba
,LaLiga,8,10/7/2018,A,Valencia (13.),1:01,RW,23',1:01,Left-footed shot,Luis Suárez
,LaLiga,9,10/20/2018,H,Sevilla FC (1.),4:02,RW,12',2:00,Left-footed shot,Luis Suárez
,LaLiga,12,11/11/2018,H,Real Betis (14.),3:04,SS,68',1:02,Penalty,
,,,,,,,,90'+4,3:04,Left-footed shot,Arturo Vidal
,Champions League,Group Stage,11/28/2018,A,PSV Eindhoven,1:02,CF,61',0:01,Left-footed shot,Ousmane Dembélé
,LaLiga,15,12/8/2018,A,Espanyol (7.),0:04,RW,17',0:01,Direct free kick,
,,,,,,,,65',0:04,Direct free kick,
,LaLiga,16,12/16/2018,A,Levante (6.),0:05,CF,43',0:02,Right-footed shot,Sergio Busquets
,,,,,,,,47',0:03,Left-footed shot,
,,,,,,,,60',0:04,Left-footed shot,Arturo Vidal
,LaLiga,17,12/22/2018,H,Celta de Vigo (10.),2:00,RW,45',2:00,Left-footed shot,Jordi Alba
,LaLiga,18,1/6/2019,A,Getafe (7.),1:02,RW,20',0:01,Left-footed shot,
,LaLiga,19,1/13/2019,H,SD Eibar (11.),3:00,RW,53',2:00,Left-footed shot,Luis Suárez
,Copa del Rey,last 16,1/17/2019,H,Levante,3:00,CF,54',3:00,Left-footed shot,Nélson Semedo
,LaLiga,20,1/20/2019,H,CD Leganés (15.),3:01,SS,90'+2,3:01,Right-footed shot,Jordi Alba
,LaLiga,21,1/27/2019,A,Girona (12.),0:02,RW,69',0:02,Left-footed shot,Jordi Alba
,Copa del Rey,Quarter-Finals,1/30/2019,H,Sevilla FC,6:01,RW,90'+2,6:01,Left-footed shot,Jordi Alba
,LaLiga,22,2/2/2019,H,Valencia (7.),2:02,RW,39',1:02,Penalty,
,,,,,,,,64',2:02,Left-footed shot,Arturo Vidal
,LaLiga,24,2/16/2019,H,Real Valladolid (15.),1:00,RW,43',1:00,Penalty,
,LaLiga,25,2/23/2019,A,Sevilla FC (4.),2:04,RW,26',1:01,Left-footed shot,Ivan Rakitic
,,,,,,,,67',2:02,Right-footed shot,Ousmane Dembélé
,,,,,,,,85',2:03,Left-footed shot,
,LaLiga,27,3/9/2019,H,Rayo Vallecano (19.),3:01,RW,51',2:01,Penalty,
,Champions League,last 16,3/13/2019,H,Olympique Lyon,5:01,RW,18',1:00,Penalty,
,,,,,,,,78',3:01,Right-footed shot,Sergio Busquets
,LaLiga,28,3/17/2019,A,Real Betis (8.),1:04,SS,18',0:01,Direct free kick,
,,,,,,,,45'+2,0:02,Left-footed shot,Luis Suárez
,,,,,,,,85',1:04,Left-footed shot,Ivan Rakitic
,LaLiga,29,3/30/2019,H,Espanyol (13.),2:00,RW,71',1:00,Direct free kick,
,,,,,,,,89',2:00,Left-footed shot,Malcom
,LaLiga,30,4/2/2019,A,Villarreal (17.),4:04,RW,90',4:03,Direct free kick,
,LaLiga,31,4/6/2019,H,Atlético Madrid (2.),2:00,SS,87',2:00,Left-footed shot,
,Champions League,Quarter-Finals,4/16/2019,H,Man Utd,3:00,RW,16',1:00,Left-footed shot,
,,,,,,,,20',2:00,Right-footed shot,
,LaLiga,35,4/27/2019,H,Levante (15.),1:00,RW,62',1:00,Left-footed shot,Arturo Vidal
,Champions League,Semi-Finals,5/1/2019,H,Liverpool,3:00,RW,75',2:00,Left-footed shot,Luis Suárez
,,,,,,,,82',3:00,Direct free kick,
,LaLiga,38,5/19/2019,A,SD Eibar (12.),2:02,CF,31',1:01,Left-footed shot,Arturo Vidal
,,,,,,,,32',1:02,Left-footed shot,Ivan Rakitic
,Copa del Rey,Final,5/25/2019,H,Valencia,1:02,CF,73',1:02,Left-footed shot,Clément Lenglet
Season 19/20,,,,,,,,,,,
,LaLiga,8,10/6/2019,H,Sevilla FC (6.),4:00,RW,78',4:00,Direct free kick,
,LaLiga,9,10/19/2019,A,SD Eibar (14.),0:03,RW,58',0:02,Left-footed shot,Antoine Griezmann
,Champions League,Group Stage,10/23/2019,A,Slavia Prague,1:02,RW,3',0:01,Left-footed shot,Arthur
,LaLiga,11,10/29/2019,H,Real Valladolid (8.),5:01,RW,34',3:01,Direct free kick,
,,,,,,,,75',4:01,Left-footed shot,Ivan Rakitic
,LaLiga,12,11/2/2019,A,Levante (11.),3:01,RW,38',0:01,Penalty,
,LaLiga,13,11/9/2019,H,Celta de Vigo (18.),4:01,RW,23',1:00,Penalty,
,,,,,,,,45'+1,2:01,Direct free kick,
,,,,,,,,48',3:01,Direct free kick,
,Champions League,Group Stage,11/27/2019,H,Bor. Dortmund,3:01,RW,33',2:00,Left-footed shot,Luis Suárez
,LaLiga,15,12/1/2019,A,Atlético Madrid (4.),0:01,RW,86',0:01,Left-footed shot,Luis Suárez
,LaLiga,16,12/7/2019,H,RCD Mallorca (17.),5:02,RW,17',2:00,Left-footed shot,Antoine Griezmann
,,,,,,,,41',3:01,Left-footed shot,Ivan Rakitic
,,,,,,,,83',5:02,Left-footed shot,Luis Suárez
